source	default_branch	size_kb	content_status	file_count	content_sha256	failure
Picrew/awesome-agent-harness	main	472	ok	53	e340e5d7ed50f7af48513efd4de4e0aba415feeddda94b801edfa62569c1d203	
manthanguptaa/water	main	665	ok	274	adfa92b2f4a045a24e807c31986a791e6099d36358489d55ad94e567d8493986	
shamspias/customizable-gpt-chatbot	main	3915	ok	138	52a37005dedc528ec6f5152a1340ee1922c0fbf73b4f205e4e92f2c87b582772	
ai-boost/awesome-harness-engineering	main	423	ok	12	38580278f15c51724e1cd81f97673d3471c7b9a3751cbe9fbce63b5f0722d05a	
LearnPrompt/cc-harness-skills	main	34	ok	43	5bd5008820658429d9d7e38b2424122f480c6c5d710f20c00819360140ee86e2	
mattolson/agent-sandbox	main	1925	ok	361	4e5b0ef0b7ef6edbf153edd5cdbfb9d146839daaed03afcef0962952a9f94fc3	
0xNyk/lacp	main	2974	ok	462	1e958094c2b0998c62d44cf19c2edb79f80a60f642d241c9001fee966c9d66a8	
enmanuelmag/agent-harness-kit	main	1346	ok	135	ec2301636215cc2c180e2d5a20fac2aa0655fe81e70d0eb5d5d3266ebb876d45	
AI-Builder-Club/skills	main	1364	ok	25	0c4c3c52ae1b17c6c3d6b806dac07394e1d43dfe9e9f41c8790640e2572eda54	
zhnt/loushang	main	4903	ok	1364	0d050d6411b8757cf9c8481afc650f856d5cd6f92c19fa172798bbe675563881	
exon-research/genomi	master	3698	ok	459	6b16d1820cdb340628aef674092d9a9a60cb6a909e4e2409f625edf87c875b47	
Magma1321/mythos-agent-pipe	main	119	ok	6	13a5d32281174d0c8dc7a8bb3023a4d617ab16587c0c5cfdef385d3dce6fd299	
inngest/utah	main	466	ok	81	4911f6c576c7a1010e04996cdffc780ce6010427e52eeb20490dcacabf30a190	
RightNow-AI/AutoMegaKernel	main	1418	ok	167	92f107669ac516523c2a7b148bf7348a90bc45bbd1d90a271cee10417803ee9e	
deepfates/cantrip	main	3693	ok	173	921f2403ad550859fbd34fb1acb135c5ad05c62fefb92c2154a79ce3383150d6	
SonicBotMan/SoloFlow	main	2762	ok	73	dfb53a87ecc23f16c14f1fafb89f0d7b97f3d1e521ae3d121e7706ba5b96a3f5	
RUCAIBox/awesome-agent-harness	main	4706	ok	5	db20d2bf7fdb97e8fd85eb28c17f7a20d0c7b4956fd3e693bdb81401c48fe456	
7-e1even/learn-agent	main	366	ok	84	e47b99180cfb888ff6589208a9c2a5fa27e3a34ff3ee0b15f7bb9d6e0a04d443	
shamspias/reins	main	471	ok	179	98bd2991f259e449d9eeba5b089b4c67f4f598b33f866f1bcd5a8a1e7609bddd	
vitaliikapliuk/modelharness	main	105	ok	193	cd30b7d48518886d415d671f525c462c47a428b4190158e3d93120a4946c56b3	
appsoftwareltd/vscode-agent-kanban	main	519	ok	79	2fdcde8c104f550240dff008716434b8c492a2eb9572a9627b7faa0b64058e35	
wulawulu/learn-claude-code-rs	main	1587	ok	344	4db7827dfac73a62aed4ddf3e7c682fdb94b3da537cb552570e9be3aeefd7964	
holny/Agent-Harness-Develop-Book	main	985	ok	2	0cbedd40199faa6c1b2b3c20a070a480c6736a9e4904cf50c4239183d59b2e29	
RyanAlberts/best-of-Agent-Harnesses	main	3873	ok	70	72a8e136c0b92fa8f3de26b0fa935ef0a6650a63c29870f7be9c7f4fc638b424	
Coral-Bricks-AI/reef	main	2600	ok	249	609dd3154c45b8279fa9e29b8286a7a5f0c3dad9be3d43c708c05c32864e264a	
ganimjeong/Harness-for-claude	main	24	ok	28	235bfcef08ba8cf0b94d20572ade66c1cd2ca0b9c6f93780f8bd5a14ada30db0	
strangeadvancedmarketing/Adam	master	736	ok	83	815839037fb7eded013d78a5631b3828dff961f9d76946466e6c9a20c9668be9	
MatthewZMD/agent-digivolve-harness-loop	main	202	ok	43	e61a67277f35cff2df3241bfb607907d10e3f33fdf42b1a93430e3056d259188	
InternScience/ResearchHarness	main	1200	ok	96	ce19c96cd748a787ef459f897a2142ed2c747ab3f7fc12f0935d4597ed96a4e8	
move-hoon/sober	main	425	ok	93	248c1a0b51276fd122741d955b0e1514c6228379265b6e116a313f3db49c585d	
410979729/proofrail-hermes	main	354	ok	47	b503fd677ac69cfd8bc1428da603bb2893a9f8de63700b0d9bf40ed31347c804	
edvinhallvaxhiu/langchain-task-steering	main	412	ok	47	87e15780b0d39ec02323b6c4ff99e82a33b6ffb79325d0bbe36f1f217ac7a9a9	
xiaonancs/hermes-agent-study	main	1819	ok	46	bb0fba4ca7feccc51d5c8bb998d97ad175b561a5384f0c5c63460bc37e23f61c	
sehoon787/my-codex	main	3579	ok	73	4562b877aed25c8067cb9cb9c8033d5f41c6a2a46bd2b890576c28df8e5bdcc4	
TRocket-Labs/vectorlint	main	1751	ok	250	b8fec4ca72e0adc813670c9577755c4be5df65ff2d0310d6863507327f8a0670	
MeherBhaskar/agent-rigor	main	2192	ok	48	ca07efb8b6bd5b943617719f298dd0ec2f37605507562b77733892a193b64b6f	
Rockielab/rockie-claude	main	1270	ok	497	3410747908886f46cbe8b147b1170e84f36757797e5589822a3cec93f264c830	
cosmtrek/jeju	master	3219	ok	327	593639d3959a58c3203ba0b2b4eeaeda7e5c9c1596bea09ad7838dd8d50e5da5	
kiaquila/unicorn-hub	main	248	ok	126	7b43c07903475db739c7907772285e68b8d3202f8f0bce4b34f7b642e8402567	
listener-He/java-harness-agent	claude-code	2031	ok	178	2c566f6b0bea4aadedc8d50aad160b29991b6655fb66f731508e81028bd43b7f	
Ranvier-Technologies/pixir	main	1335	ok	373	4838e8e37a4082a1ea08724cb2100a2f0f71db9f2f0f056849076fc6ed2d245b	
Dominien/hubspot-sales-agent	main	417	ok	90	07ea0058893063160c9b1c629ba7f4f291c681d1c1bd7b76fbf8d876e7eeda50	
sehoon787/my-claude	main	3172	ok	64	389b3517a35f79ba005a851eb6e99029d4611f82b7665dcc85144a748c529c8f	
core0-io/nio	main	4139	ok	313	f2726e5e8764b98faca342a3e7235997251d77a48895af0c113d382ecb3009dd	
schalkneethling/skills-autoresearch-flue	main	1093	ok	108	6f8e0963bf7386a45558912292eb068bac9c771910f1f8fedd7ed15733f7541d	
clark-labs-inc/clark-agent	main	171	ok	35	654f3f991a641596513eb8c9d8472fd1e6dd0f811e68d0f01ae71eb88673c6be	
BitmapAsset/mythos-harness	main	30	ok	12	76e5caa57e19d26a3ec66f6b6203c1804b76bbd785f0639509186b96c704cdc5	
BicaMindLabs/FuguNano	main	1695	ok	473	fc396427a3571f1574d6657a40bbd81f1eb7a78ddc8a1ba19c172cc9f0e06dc0	
chapzin/codex-harness-mcp	master	621	ok	87	27f2cfb47b3b513a7b6129df6c27aae8b266208a346005addb9c6edd93c09def	
microsoft/Build26-BRK243-claw-and-agent-harness-in-microsoft-foundry	main	2089	ok	175	dbb95c4dd793cba7ffd8cc0c1938716780233e813ce19fa1b93c8786710627c9	
zxpmail/ReqForge	main	2614	ok	1931	4c0524032e0c7eab23306239633d88de0576f074ee835e82aaee5e4d094931d5	
Agent-Pattern-Labs/iso	main	897	ok	709	172c6bec90e3e0cdbb55f38386958bb361fb60a717f692ecea01fbf14f9f1be8	
alvis-HaoH/gkd	main	282	ok	25	833beee5d70bebc7f598f2c393d3b2b43719190b4839f3a52448cfcf402d6cf2	
human-again/orbit	master	2038	ok	124	0caf87a4fd876dbead933f86f37b457cf01968defe464c8994f0329c822cad4e	
sky-valley/pi	main	640	ok	167	e30cf637db36a7c49409fb22f24c009bb31bd76071ce8fee7a2b951e1d3a1e98	
yfge/agent-harness-skills	main	147	ok	72	3c5d9042a1c84fe2441593dbdadb7576dde6004012f424b30cc591d625550ed2	
omarismailb/product-wiki	main	1642	ok	158	8d47914593424f03561f587eaef4ae5474af348308f66ce3dcc5f9fae715329e	
Peadarpol/ai-delivery-control	main	1962	ok	304	5cfae2dca1eed208d5bc3b45cc2c21402ebabb589c5b78d19468908b7985b05a	
Arthurescc/harness-creator	main	25	ok	10	ffd547ab532639db2dae804e68946e8e22a8b1b5d0c8f9aff3bc0e23da199afd	
huahuadeliaoliao/long-long-run	main	224	ok	25	4dd1d54037f59ef2ab0a4a2ae1eb10c05101f39ed238bd3f38f44bfe4a4c180e	
beydemirfurkan/opencode-gladio	main	764	ok	116	f7cca2ce19fc92cc5e2ae5cac2e1d2bac2bfe0e315faf75fda3a36e7bd5e3f4a	
410979729/proofrail-openclaw	main	389	ok	59	eae466a939e4ae3147b605143f05fca36a5a0eaa199eb5900dc8d61b0edcf7ee	
Nairon-AI/flux	main	2816	ok	294	c76842de6d494def66319f23bf23321fb6efcd78df7b9e37199a353fa1d200dd	
cobusgreyling/grok-build-arsenal	main	456	ok	71	5153c67eb4bfb9e74233022906f6beece68a16235ae7d406537222c75ad6b841	
23ag1/completely	main	1114	ok	143	0cf1458125ec8f72397b4ed1e8cf73440c05a21ff44e22c4c61166100a3df048	
xiaonancs/codex-source-analysis	main	726	ok	37	c5f4700e40031f77e86d8c85d2d222cf96e59ab7d30f12f9c798694e709d961d	
EpisodeYu/HarnessSmith	main	3180	ok	122	d44c1b26e94d5acafdbc665d5511ad8b7c8ea6630d86bcc976a4e2d18cd50d61	
Jonhvmp/leopold	main	2841	ok	196	963f551952cb2c312c4ca929e7a2096da57a89fedb0fe86190600569aae4df99	
framein-dev/framein	main	1689	ok	161	086bcf621fefc870a47f6b95c60391d33f0409a810396cf03466e232252b6155	
BeamusWayne/HarnessTemplates	main	208	ok	58	4c3006f4aebcf7a6d3938a8262aea3808a7c3d8b67c7aaea2ea0695010344246	
VibeCodingNights/agent-harnesses	main	57	ok	26	39f7ebefd1d0c32639ed4ff7d1ddbfdcb0ef4bad3ae328a64cde1829a75891e5	
sky54laozhu/building-an-agent-harness	master	1193	ok	117	10d59a59e914706261d843cb6f00410e1281fa3179b04f16e0340d7b15d6c7f2	
isagawa-co/isagawa-kernel	main	710	ok	73	8e5dff8e0049f376bb0805773809ab4d0c4a0246d4a174fa6d8f16d8b755686e	
Milind220/agent-sdk-rs	main	697	ok	29	8d297a353ec8da2361bd214d2fd41c5ec589ca606eec36883b3b2949e52698d9	
droidnoob/hew	main	2752	ok	316	ab745169407d1799e7023473283fc8c8aea21932dea8f543e398c457b698ab1c	
neurocis/a0_superordinates	main	671	ok	85	8c75a1bce95c91b13c9a27af5d528a78ce52317f8f54fd39bc3d19afc52af83d	
harshalmore31/phoenix-os	main	1657	ok	283	f166e759ab85c0251f5c8f15064a311e3f1b2db6c5da7b32e413c7c14c3c87fe	
EthanSK/agent-bridge	main	1813	ok	148	368a772c0e5e0953ef178fb2446347dcfbd14fb95512fb3f3c7422b9f7ce263c	
XXY-CH/Aetherion	main	3552	ok	410	8818e277d7a2381e087a80be3ba3ef9f1e4241b907095131ef8c7a86ae5016ca	
Parker617/whalefall	main	302	ok	91	5e6fbcec5359088d96e2d0ac3fe1c145961ac6cf2b7edea89eb267b45282a00c	
CaesiumY/harness-optimizer	main	38	ok	11	9043d7d93bb455a340b54f28ce44eaf82bcc8d9b455e720fb0b28488a836f1d5	
jeanlag1/vibeharness	main	99	ok	40	c365a485df296429ed29d4ecd328671df130d9a12eacd3b3960521fb93f892d0	
ar27111994/agent-harness	main	2027	ok	354	23e2dc6a51e0b45160014f261eb8b715c97617f6f1cb5e00e3f9e3ae598f0188	
gzhzk/nanodeer	main	1355	ok	189	d7ace6c4cd74d313cb51f4e9d4e7c8a41846a54337f6eaee215ab57c6adbfd68	
verkyyi/tokenman	main	4294	ok	36	6b24257e23dc08eac2ffa37c13ef949af6692cf8a940f059d8f954eacd79b12c	
bettyguo/harness-engineer-roadmap	main	2752	ok	115	d13078af217d1013e65e5e6e2827c09f71a3b37a2438cdadd1542b14c1364e69	
yu-iskw/sqlfluff-complexity	main	4532	ok	390	d812f715d77a0ce3060e540c3204bd8c58dfa30192d814bc7df3bf05824d4f84	
lyc-aon/successor-agent	master	1953	ok	285	44e7e7938f601fe34dad761b70a1d93fab3da45965d8c1121854990dd8e262b6	
GeorgeWingg/Neural-Computer	main	3043	ok	104	82054af7975039d653423863bb029418dd970b4256cb049ea2ca84f9cce4579d	
yenanjing/awesome-harness-engineering	main	321	ok	5	f9591b4f615cf8123524cab28960fe0bd4978cece4c1b72f335ee473132fbfa4	
PatterAI/skills	main	426	ok	15	9d5b197e96ecfa64774df1ff0732eaed1871280e2b273c715637caec09bbf4e0	
mindtheproduct/vennie	main	956	ok	203	01731bad4f7d08ba9af3afa1c2cf58c5bf0757b181ab3a0e9e53bc3fcce0dee4	
wujfeng712-ui/claude-code-harness-notes	main	194	ok	86	90c16b45d1fc1a1ccfed4a8c2e9b5d1a00485dfb4dbfd368daa2b799b1a9ab29	
hoiung/sst3-ai-harness	main	3003	ok	271	c45f5c4de97111da0b45613f4ae61023156bbdf23985b3b4a327632fccacbe03	
dineshdb/pie	main	1118	ok	117	3f2d0ac0ee94b7b409e40a6714687e4232df24b37680a843590e2dc7452baa9e	
zyziyun/claude-code-mini	main	115	ok	46	3f5020a55590ca65e162f21d8f8fb983e82d317059febfd7b8131af45c1e1477	
edwardZhang/sps-cli	main	3228	ok	443	e21a7fcc3a3f7799bd754cdd744fc4e112c477baf4fcb11f362bfaecbb5a19a6	
JoaoEquer/Oficina	main	55	ok	23	e27c97ed1ca5d1cb717e7a33b527dfc957c14c8105d6c28a3e5082005cce68eb	
BeamusWayne/trace-vault	main	354	ok	88	7dc0325135e44a83055ff140f89bb3174c6632f63167b5f843b14d248d4675a8	
ryanjames85/grom	main	894	ok	77	679adc09190ac74fda03f7336846755d8a9e3c8a99bf8246840cb3bb58ca3d48	
raeseoklee/codexus	main	3287	ok	382	a16b6a0376cfe63424beb74c30c44ed6c1757c2fce6a368eebd4b0e0cf12478e	
PatterAI/patter-mcp	main	689	ok	45	c38e9a05dc4fe41c4a7b1c782e44ecca1c4d037787e19c5e1089f4f9668ced52	
onblueroses/strata	main	3004	ok	275	bc9e1b53f5d750f62b4de0dca6eb28a8d878e46af1a53d6944052d846328d96e	
lordaeternus/agent-execution-harness	main	385	ok	217	bb702327ff3125f4d87b406d212ee78743f4394261811bd30dbdcc09cca1d5f0	
dahrkai/dahrk-node	main	288	ok	87	b9343bb9935217b31b6a7a590f1b6cbb51067c6d361a0679953d9146728b7931	
NeuroverseOS/Neuroverseos-governance	main	2890	ok	339	6577ce39a21584a5b93bc15c41e3768b676cf018ca51e840859a591debade895	
Thakurvaibhav/platform-agent-harness	main	331	ok	104	7cc17593965453135820ca5e92f0c779d499a6d6f3a1b9f03919429d985957d6	
migos1990/ai-eng-team-harness	main	117	ok	44	8edd1e59249299377af4734b9afca29a50bdcb892cf1b80a17380f2abf0e17e9	
MRGRD56/pi-omp-skills-autocomplete	master	35	ok	7	338fbc4a990330ebe973c4da9d8754a6379002c51ac8171bae8921399ae0140a	
youxufkhan/my-opencode-config	master	160	ok	47	ed295b1d66924d7044ef1113e9bbcb7bf05f62f0c3a703caa3e9a1b2ccf03b44	
leezythu/agent-harness-compare	main	91	ok	14	96904d23b7d6823ee38e1d6a43356c9100f40a90134ecc8fb4621782d7cf92e0	
herreravalenz6620/context-compression	main	606	ok	55	7d065755c88fc378f2ebaabb7cb6b297ec23b542847f4e7f476d681d23fcd29b	
qimen039-code/claim-boundary-harness	main	1256	ok	163	15a72c7240073499aae8b75b245c506612bfb13d17a6457585126817819611e4	
androidZzT/harness-engineering-practice	main	1256	ok	32	d52d7d541150216d2e532e9cefc227f63eaa0f2fc6d6189f969a32ef0722866b	
uzysjung/uzys-agent-harness	main	3176	ok	507	e376f22c4abf541e1f03f84fd8282005d55e001674c44f94eb3a5e5b89c952b1	
frankxai/agentic-business-os	main	99	ok	77	18ab8e70fe95fbe6d82e106e75920d297dcb3a0c1fe4a5b1a8c32c690f5de9b8	
hssh8917/cc-skills	main	805	ok	86	5fc3e8acea2d4d39b02175485819389a78138a3dc05e033010fcde38c6fc83ec	
shimo4228/agent-attribution-practice	main	821	ok	69	453d2d8ad84e5b341296916abc2ecc37d0e187f22b0c1e5d448342f3ef0e636a	
imagent-lab/learn-openai-responses-api	main	348	ok	162	ddfa90680d097f437292d838cc752576f30480e6ba8575b705ed03cc5b3ba30d	
HaaaappyDay/what-is-harness	main	120	ok	37	611fd0273b370b8ebe7da21539e934fbbc64db284ea6010d2ade9206ad068802	
gjkoplik/hiveplotlib-agent-harness	main	564	ok	41	76c98d8bf1b9e3dfaebd2634d635a2409742fd574125e13c51ceff3218c7864b	
LeHungViet/scroll	main	90	ok	33	641341ec3f3d4928ddb6a261df599243946fe82ae6c6dd57b89f2d8ec630cf3d	
hjnnjh/agent-learning	main	98	ok	36	716910c55694cdbd57ead7a5857732a60ae50f274f02fec14d6b630c2c3acaa4	
lian-tian-mo-zun/minimal-stable-python-agent	main	62	ok	18	e5050ebfb5009d3f9a278bc0bea30b44daf22a84d35e8de5dbf128a2a27aea3e	
gzb1128/skill-forge	main	307	ok	74	69df344b02e73b6337728e6f4017ca0aca8c8469f7fd8ab1ddf3bd0530ce9f6e	
benlongmao/Self-becoming	main	4348	ok	385	8a124fce02fc7cc430712843a201a364b33f455e7b171cb786f3e4338f867627	
luislozanogmia/fixingrok	main	23	ok	10	a3dee1647c922291039b1a33c8ce225d3bc7571c18488aa8d52981994b1c11ba	
elizabethfuentes12/resilient-agent-harness-sample-for-aws	main	4272	ok	42	915bd49d44883d7af4c1ef039b9dede62029e3ba621d482dd5352a696f00bc91	
NullNyx/just-harness	main	28	ok	43	b0c4acf2a4aa8ad19988165b2a6cc639d25bb8c28850ba4ad275d37f8ef26da2	
Catfish-75/claw-task-hub	main	535	ok	59	1e217d50d5c0e45cd57dfae340eb1e7e559a4af5b1c3cdc4a4d7fb94750d3a83	
uppifyagency/loop-kernel	main	83	ok	44	bf809db37fede35e3ad82cd458871f924f6d01584d097f5918cc6472ef9bb13d	
hiloopai/hiloop-interceptor	main	575	ok	73	d106ebf753697f232125cc614baa68b473285270780c8a8159e57319a6437df4	
jimmc414/opal-harness	main	291	ok	612	9020c4ce04b46a72dd32f183e4b9664d23294463196a48fe85809aa4bb84a694	
BeamusWayne/Alfred	main	2160	ok	275	d0fda592fe5758019a659b40890dd4c2e6525aaf1a9834257259fe1af30e8bd0	
samiralibabic/open-ended-agent	main	171	ok	32	a1993dfe4da233360bf37c5103f5fb0a2a5c8b1480eb5bc9ab7543c47bc29104	
wang2-lat/micro-harness	main	210	ok	41	12ef4329cc9683b3826065fe6d36291b5f7faa7e91a087dc410d1c10d8c0ed0e	
jd-solanki/krutrimbox	main	495	ok	164	97e9ba4220d1c67943992cb93a2a30dfb7952f16f9c923f43091265ce669e1aa	
shiftbloom-studio/myosotis	main	1762	ok	108	85d23a622fab908a77c5d45dadd07e86a0a464f4327a87bc4b7fbc025d775e6b	
RasputinKaiser/Self-Improvement-Plugin	main	538	ok	250	8d64d47cc27bd748582d5941e79f5d79ae5ff9899c9325812c2efcfa383b1a04	
xLabel/AutoPatch-J	master	1308	ok	201	f5ea9cc5118e02324ae2c2237d5ec17dd67fddb6648519ac99a82947cd877a75	
the-sid-dani/second-brain-os	main	1595	ok	260	fafcc4aa3a122498105868657308d95d220fdd5b0fe81a734051d4206a03c3c8	
anthony-maio/agent-harness-90m	main	22	ok	28	f417edf9e5863ba20114980c98d8fc0a7c83226b9b3922d326209eeb818584db	
mantaray0/crew	main	464	ok	68	e7502c251fdb7af8f29fab25d4693f244830dc1753632f72ed31d6fe40de88f2	
cpplain/lorah	main	173	ok	37	95b58a6c2798f8f88e6e784c71eeb0780a710ef56fbeb6603a95a1f2375e17dc	
Othunderlight/tammam-agent	main	309	ok	98	db0baa5a11759c6cdaa720b4e39503ba847403f9797da3754dcdc318b13b68a1	
baksohyeon/mogui-agent-harness	main	159	ok	98	63e945f1ed90c6bc362104826b2c4caf725c7b6550ba6c98d06bbf0c6092f6bd	
gloweaseco-leo/gloweaseco-leo	main	3	ok	1	1d5e69368966db9887e1b3d8ee8e63ba47e971e77de452960693708b231d521e	
maxkskhor/pokemon-harness	pokemon-harness	2682	ok	109	a288a8ceed406d3286eec73af507f15ae4c517ca533297b3cd137546d5359cc5	
contextosai/skills	main	49	ok	24	3d010366f6c8350910ede5d9ca56b4401bfcb9817eb33eb8063232b4f5034ac6	
kedarvartak/rote	main	587	ok	198	fba0a8df7f5d7e552837637624f5ab183a8a5377b0d907e9f958890807ea45dc	
bhanuvikas/minion-cli	main	1144	ok	217	a406d89f51a956f63c8f7f1db58f30055d4b7903c40415c7899432fde6a6d0ba	
